2251,1377986401,0.0,1,0,0,5
2252,1377986401,3.216,0,0,0,5
2253,1377986401,11.721,0,3,0,5
2254,1377986401,14.279,1,3,0,5
2255,1377986401,0.0,1,3,1,5
2256,1377986401,3.216,0,3,1,5
2257,1377986401,0.0,1,4,1,5
2258,1377986401,0.355,0,4,1,5
2259,1377986401,68.451,0,5,1,5
2260,1377986401,37.62,1,5,1,5
3311,1377986402,3.216,0,0,0,5
3312,1377986402,0.0,1,0,0,5
3313,1377986402,0.0,1,1,0,5
3314,1377986402,2.25,0,1,0,5
3315,1377986402,0.0,1,2,0,5
3316,1377986402,2.25,0,2,0,5
3317,1377986402,0.0,1,4,0,5
3318,1377986402,2.25,0,4,0,5
3319,1377986402,0.0,1,0,1,5
3320,1377986402,2.25,0,0,1,5
3321,1377986402,0.0,1,1,1,5
3322,1377986402,2.25,0,1,1,5
3323,1377986402,3.216,0,3,1,5
3324,1377986402,0.0,1,3,1,5
5573,1377986403,14.459,1,3,0,5
5574,1377986403,11.721,0,3,0,5
5575,1377986403,68.451,0,5,1,5
5576,1377986403,40.81,1,5,1,5
6865,1377986404,0.0,1,0,0,5
6866,1377986404,3.216,0,0,0,5
6867,1377986404,0.0,1,1,0,5
6868,1377986404,2.25,0,1,0,5
6869,1377986404,0.0,1,2,0,5
6870,1377986404,2.25,0,2,0,5
6871,1377986404,0.0,1,4,0,5
6872,1377986404,2.25,0,4,0,5
6873,1377986404,0.0,1,0,1,5
6874,1377986404,2.25,0,0,1,5
6875,1377986404,0.0,1,1,1,5
6876,1377986404,2.25,0,1,1,5
6877,1377986404,0.0,1,3,1,5
6878,1377986404,3.216,0,3,1,5
8559,1377986405,14.11,1,3,0,5
8560,1377986405,11.721,0,3,0,5
8561,1377986405,68.451,0,5,1,5
8562,1377986405,36.635,1,5,1,5
8563,1377986405,0.0,1,6,1,5
8564,1377986405,0.982,0,6,1,5
9609,1377986406,0.0,1,1,0,5
9610,1377986406,2.25,0,1,0,5
9611,1377986406,0.0,1,2,0,5
9612,1377986406,2.25,0,2,0,5
9613,1377986406,0.0,1,4,0,5
9614,1377986406,2.25,0,4,0,5
9615,1377986406,0.0,1,0,1,5
9616,1377986406,2.25,0,0,1,5
9617,1377986406,0.0,1,1,1,5
9618,1377986406,2.25,0,1,1,5
12177,1377986407,0.0,1,0,0,5
12178,1377986407,3.216,0,0,0,5
12179,1377986407,14.186,1,3,0,5
12180,1377986407,11.721,0,3,0,5
12181,1377986407,0.0,1,3,1,5
12182,1377986407,3.216,0,3,1,5
12183,1377986407,0.0,1,4,1,5
12184,1377986407,0.355,0,4,1,5
12185,1377986407,40.414,1,5,1,5
12186,1377986407,68.451,0,5,1,5
13535,1377986408,0.0,1,0,0,5
13536,1377986408,3.216,0,0,0,5
13537,1377986408,0.0,1,1,0,5
13538,1377986408,2.25,0,1,0,5
13539,1377986408,0.0,1,2,0,5
13540,1377986408,2.25,0,2,0,5
13541,1377986408,0.0,1,4,0,5
13542,1377986408,2.25,0,4,0,5
13543,1377986408,0.0,1,0,1,5
13544,1377986408,2.25,0,0,1,5
13545,1377986408,0.0,1,1,1,5
13546,1377986408,2.25,0,1,1,5
13547,1377986408,0.0,1,3,1,5
13548,1377986408,3.216,0,3,1,5
15545,1377986409,15.351,1,3,0,5
15546,1377986409,11.721,0,3,0,5
15547,1377986409,36.813,1,5,1,5
15548,1377986409,68.451,0,5,1,5
17065,1377986410,0.0,1,0,0,5
17066,1377986410,3.216,0,0,0,5
17067,1377986410,0.0,1,1,0,5
17068,1377986410,2.25,0,1,0,5
17069,1377986410,0.0,1,2,0,5
17070,1377986410,2.25,0,2,0,5
17071,1377986410,0.0,1,4,0,5
17072,1377986410,2.25,0,4,0,5
17073,1377986410,0.0,1,0,1,5
17074,1377986410,2.25,0,0,1,5
17075,1377986410,0.0,1,1,1,5
17076,1377986410,2.25,0,1,1,5
17077,1377986410,0.0,1,3,1,5
17078,1377986410,3.216,0,3,1,5
17079,1377986410,0.0,1,6,1,5
17080,1377986410,0.982,0,6,1,5
18535,1377986411,15.407,1,3,0,5
18536,1377986411,11.721,0,3,0,5
18537,1377986411,41.7,1,5,1,5
18538,1377986411,68.451,0,5,1,5
20411,1377986412,0.0,1,0,0,5
20412,1377986412,3.216,0,0,0,5
20413,1377986412,0.0,1,1,0,5
20414,1377986412,2.25,0,1,0,5
20415,1377986412,0.0,1,2,0,5
20416,1377986412,2.25,0,2,0,5
20417,1377986412,0.0,1,4,0,5
20418,1377986412,2.25,0,4,0,5
20419,1377986412,0.0,1,0,1,5
20420,1377986412,2.25,0,0,1,5
20421,1377986412,0.0,1,1,1,5
20422,1377986412,2.25,0,1,1,5
20423,1377986412,0.0,1,3,1,5
20424,1377986412,3.216,0,3,1,5
20425,1377986412,0.0,1,4,1,5
20426,1377986412,0.355,0,4,1,5
23183,1377986414,0.0,1,0,0,5
23184,1377986414,3.216,0,0,0,5
23185,1377986414,0.0,1,1,0,5
23186,1377986414,2.25,0,1,0,5
23187,1377986414,0.0,1,2,0,5
23188,1377986414,2.25,0,2,0,5
23189,1377986414,0.0,1,4,0,5
23190,1377986414,2.25,0,4,0,5
23191,1377986414,0.0,1,0,1,5
23192,1377986414,2.25,0,0,1,5
23193,1377986414,0.0,1,1,1,5
23194,1377986414,2.25,0,1,1,5
23195,1377986414,0.0,1,3,1,5
